Opetustila: 1478
Pvm Klo Lkm
3.10.2019 17:18 7
3.10.2019 17:34 1
3.10.2019 17:50 1
3.10.2019 18:06 1
3.10.2019 18:22 0
3.10.2019 18:38 0
3.10.2019 18:54 0
3.10.2019 19:10 0
3.10.2019 19:26 0
3.10.2019 19:42 0
3.10.2019 19:58 0
3.10.2019 20:14 0
3.10.2019 20:30 0
3.10.2019 20:46 0
3.10.2019 21:02 0
3.10.2019 21:18 0
3.10.2019 21:34 0
3.10.2019 21:50 0
3.10.2019 22:06 0
3.10.2019 22:22 0
3.10.2019 22:38 0
3.10.2019 22:54 0
3.10.2019 23:10 0
3.10.2019 23:26 0
3.10.2019 23:42 0
3.10.2019 23:58 0
4.10.2019 00:14 0
4.10.2019 00:30 0
4.10.2019 00:46 0
4.10.2019 01:02 0
4.10.2019 01:18 0
4.10.2019 01:34 0
4.10.2019 01:50 0
4.10.2019 02:06 0
4.10.2019 02:22 0
4.10.2019 02:38 0
4.10.2019 02:54 0
4.10.2019 03:10 0
4.10.2019 03:26 0
4.10.2019 03:42 0
4.10.2019 03:58 0
4.10.2019 04:14 0
4.10.2019 04:30 0
4.10.2019 04:46 0
4.10.2019 05:02 0
4.10.2019 05:18 0
4.10.2019 05:34 0
4.10.2019 05:50 0
4.10.2019 06:06 0
4.10.2019 06:22 0
4.10.2019 06:38 0
4.10.2019 06:54 0
4.10.2019 07:10 0
4.10.2019 07:26 0
4.10.2019 07:42 0
4.10.2019 07:58 0
4.10.2019 08:14 2
4.10.2019 08:30 3
4.10.2019 08:46 3
4.10.2019 09:02 3
4.10.2019 09:18 3
4.10.2019 09:34 2
4.10.2019 09:50 3
4.10.2019 10:06 5
4.10.2019 10:22 4
4.10.2019 10:38 3
4.10.2019 10:54 4
4.10.2019 11:10 2
4.10.2019 11:26 4
4.10.2019 11:42 2
4.10.2019 11:58 4
4.10.2019 12:14 14
4.10.2019 12:30 23
4.10.2019 12:46 22
4.10.2019 13:02 25
4.10.2019 13:18 23
4.10.2019 13:34 23
4.10.2019 13:50 17
4.10.2019 14:06 11
4.10.2019 14:22 5
4.10.2019 14:38 2
4.10.2019 14:54 2
4.10.2019 15:10 2
4.10.2019 15:26 2
4.10.2019 15:42 2
4.10.2019 15:58 2
4.10.2019 16:14 2
4.10.2019 16:30 2
4.10.2019 16:46 2
4.10.2019 17:02 1
4.10.2019 17:18 2
4.10.2019 17:34 1
4.10.2019 17:50 1
4.10.2019 18:06 0
4.10.2019 18:22 1
4.10.2019 18:38 0
4.10.2019 18:54 0
4.10.2019 19:10 0
4.10.2019 19:26 0
4.10.2019 19:42 0
4.10.2019 19:58 0
4.10.2019 20:14 0
4.10.2019 20:30 0
4.10.2019 20:46 0
4.10.2019 21:02 0
4.10.2019 21:18 0
4.10.2019 21:34 0
4.10.2019 21:50 0
4.10.2019 22:06 0
4.10.2019 22:22 0
4.10.2019 22:38 0
4.10.2019 22:54 0
4.10.2019 23:10 0
4.10.2019 23:26 0
4.10.2019 23:42 0
4.10.2019 23:58 0
5.10.2019 00:14 0
5.10.2019 00:30 0
5.10.2019 00:46 0
5.10.2019 01:02 0
5.10.2019 01:18 0
5.10.2019 01:34 0
5.10.2019 01:50 0
5.10.2019 02:06 0
5.10.2019 02:22 0
5.10.2019 02:38 0
5.10.2019 02:54 0
5.10.2019 03:10 0
5.10.2019 03:26 0
5.10.2019 03:42 0
5.10.2019 03:58 0
5.10.2019 04:14 0
5.10.2019 04:30 0
5.10.2019 04:46 0
5.10.2019 05:02 0
5.10.2019 05:18 0
5.10.2019 05:34 0
5.10.2019 05:50 0
5.10.2019 06:06 0
5.10.2019 06:22 0
5.10.2019 06:38 0
5.10.2019 06:54 0
5.10.2019 07:10 0
5.10.2019 07:26 0
5.10.2019 07:42 0
5.10.2019 07:58 0
5.10.2019 08:14 2
5.10.2019 08:30 2
5.10.2019 08:46 2
5.10.2019 09:02 2
5.10.2019 09:18 1
5.10.2019 09:34 2
5.10.2019 09:50 2
5.10.2019 10:06 2
5.10.2019 10:22 2
5.10.2019 10:38 2
5.10.2019 10:54 2
5.10.2019 11:10 2
5.10.2019 11:26 2
5.10.2019 11:42 2
5.10.2019 11:58 2
5.10.2019 12:14 2
5.10.2019 12:30 2
5.10.2019 12:46 2
5.10.2019 13:02 2
5.10.2019 13:18 2
5.10.2019 13:34 2
5.10.2019 13:50 2
5.10.2019 14:06 2
5.10.2019 14:22 2
5.10.2019 14:38 2
5.10.2019 14:54 2
5.10.2019 15:10 2
5.10.2019 15:26 2
5.10.2019 15:42 2
5.10.2019 15:58 2
5.10.2019 16:14 2
5.10.2019 16:30 2
5.10.2019 16:46 3
5.10.2019 17:02 2
5.10.2019 17:18 2
5.10.2019 17:34 2
5.10.2019 17:50 2
5.10.2019 18:06 1
5.10.2019 18:22 1
5.10.2019 18:38 1
5.10.2019 18:54 0
5.10.2019 19:10 0
5.10.2019 19:26 0
5.10.2019 19:42 0
5.10.2019 19:58 0
5.10.2019 20:14 0
5.10.2019 20:30 0
5.10.2019 20:46 0
5.10.2019 21:02 0
5.10.2019 21:18 0
5.10.2019 21:34 0
5.10.2019 21:50 0
5.10.2019 22:06 0
5.10.2019 22:22 0
5.10.2019 22:38 0
5.10.2019 22:54 0
5.10.2019 23:10 0
5.10.2019 23:26 0
5.10.2019 23:42 0
5.10.2019 23:58 0
6.10.2019 00:14 0
6.10.2019 00:30 0
6.10.2019 00:46 0
6.10.2019 01:02 0
6.10.2019 01:18 0
6.10.2019 01:34 0
6.10.2019 01:50 0
6.10.2019 02:06 0
6.10.2019 02:22 0
6.10.2019 02:38 0
6.10.2019 02:54 0
6.10.2019 03:10 0
